region,year,population
UKC2,1991,1429600.0
UKD1,1991,486700.0
UKD3,1991,2549700.0
UKD4,1991,1400900.0
UKE1,1991,869700.0
UKE2,1991,712200.0
UKE3,1991,1288700.0
UKE4,1991,2058000.0
UKF1,1991,1948100.0
UKF2,1991,1467700.0
UKF3,1991,586400.0
UKG1,1991,1157300.0
UKG2,1991,1448400.0
UKG3,1991,2618400.0
UKH1,1991,2057100.0
UKH2,1991,1510200.0
UKH3,1991,1537300.0
UKJ1,1991,1958800.0
UKJ2,1991,2436300.0
UKJ3,1991,1692200.0
UKJ4,1991,1526400.0
UKK1,1991,2056200.0
UKK2,1991,1120100.0
UKK3,1991,470600.0
UKK4,1991,1031300.0
UKL1,1991,1855000.0
UKL2,1991,1012300.0
UKN0,1991,1601451.0
BG31,1992,1178488.0
BG32,1992,1117561.0
BG33,1992,1082553.0
BG34,1992,1259419.0
BG41,1992,2192041.0
BG42,1992,1765403.0
CH01,1992,1226417.0
CH02,1992,1622455.0
CH03,1992,934798.0
CH04,1992,1151718.0
CH05,1992,992243.0
CH06,1992,625137.0
CH07,1992,290000.0
CY00,1992,603069.0
CZ01,1992,1216889.0
CZ02,1992,1111244.0
CZ03,1992,1181555.0
CZ04,1992,1127613.0
CZ05,1992,1488681.0
CZ06,1992,1659514.0
CZ07,1992,1246021.0
CZ08,1992,1281031.0
EFTA,1992,11405515.0
EL30,1992,3665865.0
EL41,1992,201249.0
EL42,1992,265804.0
EL43,1992,543879.0
EL51,1992,573249.0
EL52,1992,1725005.0
EL53,1992,291812.0
EL54,1992,329079.0
EL61,1992,737897.0
EL62,1992,193943.0
EL63,1992,703526.0
EL64,1992,553910.0
EL65,1992,581945.0
ES11,1992,2731875.0
ES12,1992,1092874.0
ES13,1992,528528.0
ES21,1992,2103318.0
ES22,1992,522071.0
ES23,1992,264477.0
ES24,1992,1190530.0
ES30,1992,4984663.0
ES41,1992,2541467.0
ES42,1992,1667663.0
ES43,1992,1063112.0
ES51,1992,6082495.0
ES52,1992,3882777.0
ES53,1992,719713.0
ES61,1992,6981694.0
ES62,1992,1058075.0
