region,year,gdp
ITF5,2000,9438.35
ITF6,2000,26351.33
ITG1,2000,68312.26
ITG2,2000,24394.08
ITH1,2000,14629.46
ITH2,2000,13632.26
ITH3,2000,112073.22
ITH4,2000,27597.92
ITH5,2000,106749.77
ITI1,2000,80822.9
ITI2,2000,17418.89
ITI3,2000,29949.17
ITI4,2000,140223.36
ITZZ,2000,879.71
LT01,2000,4213.82
LT02,2000,8289.92
LU00,2000,22986.03
LV00,2000,8411.58
LVZZ,2000,6.43
MK00,2000,4094.58
MT00,2000,4369.99
MTZZ,2000,6.96
NL11,2000,16874.75
NL12,2000,13267.01
NL13,2000,9900.97
NL21,2000,25032.55
NL22,2000,46601.05
NL23,2000,6778.86
NL32,2000,89088.67
NL34,2000,7760.16
NL35,2000,41621.05
NL36,2000,97488.17
NL41,2000,66723.77
NL42,2000,27533.13
NLZZ,2000,3520.86
PL21,2000,14156.52
PL22,2000,24679.02
PL41,2000,17508.19
PL42,2000,8170.43
PL43,2000,4409.99
PL51,2000,14606.87
PL52,2000,4351.83
PL61,2000,9041.92
PL62,2000,5399.48
PL63,2000,10417.43
PL71,2000,11546.83
PL72,2000,5078.92
PL81,2000,7842.01
PL82,2000,7428.74
PL84,2000,4460.28
PL91,2000,28842.34
PL92,2000,9592.01
PT11,2000,36733.25
PT15,2000,5028.18
PT19,2000,18544.03
PT1A,2000,40338.14
PT1B,2000,7149.0
PT1C,2000,6117.72
PT1D,2000,9060.81
PT20,2000,2406.58
PT30,2000,2722.83
PTZZ,2000,313.91
RO11,2000,4592.47
RO12,2000,4915.72
RO21,2000,4786.14
RO22,2000,4778.31
RO31,2000,5054.47
RO32,2000,9078.1
RO41,2000,3528.78
RO42,2000,3807.22
ROZZ,2000,53.64
RS11,2000,7932.01
RS12,2000,9943.56
RS21,2000,6572.85
RS22,2000,5906.82
RSZZ,2000,14.7
SE11,2000,82524.99
SE12,2000,40966.72
SE21,2000,22571.9
SE22,2000,37674.76
SE23,2000,54268.15
SE31,2000,22248.75
SE32,2000,10705.72
SE33,2000,14184.56
SEZZ,2000,78.59
SI03,2000,10102.96
SI04,2000,11623.28
SK01,2000,5790.74
SK02,2000,7207.92
SK03,2000,4564.39
SK04,2000,4805.52
TR10,2000,88349.96
TR21,2000,7373.92
TR22,2000,6565.99
TR31,2000,19186.39
TR32,2000,10530.29
TR33,2000,9575.36
TR41,2000,17086.07
TR42,2000,17517.08
TR51,2000,27440.31
TR52,2000,7216.59
TR61,2000,11384.06
TR62,2000,11565.34
TR63,2000,7498.74
TR71,2000,4566.72
TR72,2000,7584.04
TR81,2000,3066.39
TR82,2000,2448.77
TR83,2000,7844.97
TR90,2000,7321.28
TRA1,2000,2683.51
TRA2,2000,1771.59
TRB1,2000,3858.29
TRB2,2000,2819.09
TRC1,2000,5170.17
TRC2,2000,5249.83
TRC3,2000,3173.49
AT11,2001,5031.63
AT12,2001,33936.33
AT13,2001,58318.73
AT21,2001,12846.04
AT22,2001,28375.24
AT31,2001,36845.61
AT32,2001,15413.9
AT33,2001,18613.1
AT34,2001,9883.03
ATZZ,2001,109.7
BG31,2001,1815.27
BG32,2001,1683.88
BG33,2001,1836.68
BG34,2001,2211.93
BG41,2001,5891.27
BG42,2001,2466.26
CY00,2001,11602.93
CZ01,2001,17419.4
CZ02,2001,8312.0
CZ03,2001,8132.75
CZ04,2001,6773.18
CZ05,2001,9827.64
CZ06,2001,10955.35
CZ07,2001,7339.11
CZ08,2001,7311.18
DE11,2001,139017.33
DE12,2001,82976.11
DE13,2001,55894.33
DE14,2001,48953.71
DE21,2001,163040.48
